chrom	start	end	nSites	recombRate
b'22'	21700000	21762000	370	8.20441327544992e-09
b'22'	21762000	21824000	1119	7.695808112160078e-09
b'22'	21824000	21886000	1016	1.2368126426046302e-09
b'22'	21886000	21948000	704	4.810075599402297e-09
b'22'	21948000	22010000	478	7.760810134991872e-09
b'22'	22010000	22072000	852	9.45093660534165e-09
b'22'	22072000	22134000	796	7.3527689705975125e-09
b'22'	22134000	22196000	1215	5.658022874829679e-09
b'22'	22196000	22258000	855	9.213900032281385e-09
b'22'	22258000	22320000	921	6.279802085952129e-09
b'22'	22320000	22382000	900	5.39169133300545e-09
b'22'	22382000	22444000	930	9.035664497759247e-09
b'22'	22444000	22506000	970	0
b'22'	22506000	22568000	862	7.470554013389872e-09
b'22'	22568000	22630000	780	4.189680800096893e-09
b'22'	22630000	22692000	662	8.97074619037303e-09
b'22'	22692000	22754000	850	9.291374620849475e-09
b'22'	22754000	22816000	797	9.572858744628113e-09
b'22'	22816000	22878000	912	9.253816247170185e-09
b'22'	22878000	22940000	794	9.599775763214715e-09
b'22'	22940000	23002000	818	6.330107646551049e-09
b'22'	23002000	23064000	721	8.064096155181695e-10
b'22'	23064000	23126000	542	6.585418869858323e-09
b'22'	23126000	23188000	727	3.5308720034756293e-09
b'22'	23188000	23250000	480	4.713966643084955e-09
b'22'	23250000	23312000	1334	5.592354968987198e-09
b'22'	23312000	23374000	859	3.848178052722163e-09
b'22'	23374000	23436000	839	9.469676092073083e-09
b'22'	23436000	23498000	824	9.311027555288135e-09
b'22'	23498000	23560000	834	8.581011608921417e-09
b'22'	23560000	23622000	823	9.13080632491869e-09
b'22'	23622000	23684000	882	2.3926859536674437e-09
b'22'	23684000	23746000	679	3.638531447363733e-09
b'22'	23746000	23808000	544	7.984845095221614e-09
b'22'	23808000	23870000	438	4.413529989711574e-09
b'22'	23870000	23932000	957	8.233961202946866e-09
b'22'	23932000	23994000	1628	1.5584339210047275e-09
b'22'	23994000	24056000	893	4.00227540362343e-09
b'22'	24056000	24118000	496	3.709912565002708e-10
b'22'	24118000	24180000	426	3.2902824211935426e-10
b'22'	24180000	24242000	844	6.095708196331111e-09
b'22'	24242000	24304000	933	2.6021784190405087e-09
b'22'	24304000	24366000	1050	0
b'22'	24366000	24428000	1048	0
b'22'	24428000	24490000	1007	1.610828397732304e-09
b'22'	24490000	24552000	713	5.711915685423956e-09
b'22'	24552000	24614000	828	9.177129101618038e-09
b'22'	24614000	24676000	694	7.290993013080922e-09
b'22'	24676000	24738000	802	9.148980344021841e-09
b'22'	24738000	24800000	553	4.125364035654685e-09
b'22'	24800000	24862000	766	9.186493148881271e-09
b'22'	24862000	24924000	691	8.24565927135468e-09
b'22'	24924000	24986000	781	8.786066120023792e-09
b'22'	24986000	25048000	703	8.952912556545514e-09
b'22'	25048000	25110000	984	8.936371420154073e-09
b'22'	25110000	25172000	474	1.1266945537539915e-09
b'22'	25172000	25234000	892	8.022726938478257e-09
b'22'	25234000	25296000	840	9.007948643951736e-09
b'22'	25296000	25358000	806	7.82302607327296e-09
b'22'	25358000	25420000	736	9.225918808519892e-09
b'22'	25420000	25482000	879	8.745275467099315e-09
b'22'	25482000	25544000	794	8.696642834538649e-09
b'22'	25544000	25606000	801	8.263864360107736e-09
b'22'	25606000	25668000	961	1.982069633123403e-09
b'22'	25668000	25730000	991	4.9387700377462175e-09
b'22'	25730000	25792000	815	8.096847730948197e-09
b'22'	25792000	25854000	1045	2.7239472813874372e-09
