chrom	start	end	nSites	recombRate
b'22'	21728000	21784000	1105	5.949541805091179e-09
b'22'	21784000	21840000	1352	5.9288206566819e-10
b'22'	21840000	21896000	1585	2.2018977627559184e-09
b'22'	21896000	21952000	1157	5.479470990858291e-09
b'22'	21952000	22008000	1082	6.109339918922636e-09
b'22'	22008000	22064000	1083	9.022761272153425e-09
b'22'	22064000	22120000	1084	6.6839062078759435e-09
b'22'	22120000	22176000	1058	3.0575780151310697e-09
b'22'	22176000	22232000	892	8.860258372688515e-09
b'22'	22232000	22288000	1133	3.6253292626821533e-09
b'22'	22288000	22344000	1082	2.5978457563611645e-09
b'22'	22344000	22400000	969	9.070596105148181e-09
b'22'	22400000	22456000	1191	3.9778769253800136e-09
b'22'	22456000	22512000	1042	1.4080554124420583e-10
b'22'	22512000	22568000	941	9.044947073496062e-09
b'22'	22568000	22624000	791	3.423684990875258e-09
b'22'	22624000	22680000	1013	8.560324400359232e-09
b'22'	22680000	22736000	950	9.266207513989226e-09
b'22'	22736000	22792000	1011	9.113197773443823e-09
b'22'	22792000	22848000	1068	9.213596240148976e-09
b'22'	22848000	22904000	1016	9.158353712180046e-09
b'22'	22904000	22960000	1139	9.017009934737555e-09
b'22'	22960000	23016000	1672	2.007152851928907e-09
b'22'	23016000	23072000	1415	2.6507528823121842e-09
b'22'	23072000	23128000	815	7.784066976210422e-09
b'22'	23128000	23184000	842	3.625273337312323e-09
b'22'	23184000	23240000	882	1.8074561293435985e-09
b'22'	23240000	23296000	897	2.5198044919006285e-09
b'22'	23296000	23352000	911	2.99631884945791e-09
b'22'	23352000	23408000	1000	8.541163747262411e-09
b'22'	23408000	23464000	1091	9.05515656045506e-09
b'22'	23464000	23520000	954	9.06794172139124e-09
b'22'	23520000	23576000	990	8.845720538279325e-09
b'22'	23576000	23632000	1004	8.984862167980169e-09
b'22'	23632000	23688000	806	6.916441974783089e-10
b'22'	23688000	23744000	870	4.246265882160079e-09
b'22'	23744000	23800000	1009	5.636170554396031e-09
b'22'	23800000	23856000	1079	1.892288011009349e-09
b'22'	23856000	23912000	960	7.696396191589125e-09
b'22'	23912000	23968000	1071	3.0151077024108593e-09
b'22'	23968000	24024000	980	5.932491903182533e-09
b'22'	24024000	24080000	1289	9.722238492263592e-10
b'22'	24080000	24136000	1252	2.2473847437268537e-10
b'22'	24136000	24192000	1188	7.042878188982513e-10
b'22'	24192000	24248000	952	3.871270828928295e-09
b'22'	24248000	24304000	1171	2.111801646741152e-09
b'22'	24304000	24360000	1527	1.6126193904401992e-09
b'22'	24360000	24416000	1434	8.674273009678958e-10
b'22'	24416000	24472000	1561	1.8496373217105196e-09
b'22'	24472000	24528000	937	6.274422893898462e-09
b'22'	24528000	24584000	892	7.895982789526435e-09
b'22'	24584000	24640000	1019	8.14244658480474e-09
b'22'	24640000	24696000	1017	8.326229087490038e-09
b'22'	24696000	24752000	1126	8.314024929007094e-09
b'22'	24752000	24808000	1387	3.517389156289902e-09
b'22'	24808000	24864000	978	8.834332475933903e-09
b'22'	24864000	24920000	1015	8.16110529044642e-09
b'22'	24920000	24976000	1030	8.101872383774607e-09
b'22'	24976000	25032000	1152	8.625742583890598e-09
b'22'	25032000	25088000	1066	9.259225818437093e-09
b'22'	25088000	25144000	800	5.140904692194124e-09
b'22'	25144000	25200000	978	2.8489648208503347e-09
b'22'	25200000	25256000	947	9.1068278047765e-09
b'22'	25256000	25312000	910	8.070861766203766e-09
b'22'	25312000	25368000	893	8.414631907584945e-09
b'22'	25368000	25424000	1012	8.874900808252387e-09
b'22'	25424000	25480000	860	8.24290063166139e-09
b'22'	25480000	25536000	1028	8.51086427945608e-09
b'22'	25536000	25592000	999	8.753308007254924e-09
b'22'	25592000	25648000	682	1.575589891245969e-09
b'22'	25648000	25704000	1001	1.3575361838413988e-09
b'22'	25704000	25760000	948	7.900508601862693e-09
b'22'	25760000	25816000	782	6.4395959708590155e-09
b'22'	25816000	25872000	1073	6.393579316515823e-09
b'22'	25872000	25928000	894	8.807550782933556e-09
b'22'	25928000	25984000	1050	8.559312910645637e-09
b'22'	25984000	26040000	1037	7.388634220966112e-09
b'22'	26040000	26096000	1408	3.149188258751238e-09
b'22'	26096000	26152000	1295	4.755898328902217e-09
b'22'	26152000	26208000	1348	4.512802526825977e-09
b'22'	26208000	26264000	1271	1.4081075625561778e-09
b'22'	26264000	26320000	904	8.785975672820733e-09
b'22'	26320000	26376000	971	8.843278809015072e-09
b'22'	26376000	26432000	934	8.153117628674006e-09
b'22'	26432000	26488000	681	5.743251994345362e-10
b'22'	26488000	26544000	853	8.403895272232546e-09
b'22'	26544000	26600000	969	7.300478749806286e-09
b'22'	26600000	26656000	909	2.922672904804028e-09
b'22'	26656000	26712000	863	6.507135779956021e-09
b'22'	26712000	26768000	938	9.108609476589424e-09
b'22'	26768000	26824000	1016	9.19511946456841e-09
b'22'	26824000	26880000	1031	9.282783172213896e-09
b'22'	26880000	26936000	1207	8.192949955508059e-09
b'22'	26936000	26992000	946	8.677652719297978e-09
b'22'	26992000	27048000	1007	8.25413300053895e-09
b'22'	27048000	27104000	1073	7.4179351447463086e-09
b'22'	27104000	27160000	1119	9.207008438713979e-09
b'22'	27160000	27216000	943	8.266916435383468e-09
b'22'	27216000	27272000	1009	9.144196308373034e-09
b'22'	27272000	27328000	1014	9.310306048973659e-09
b'22'	27328000	27384000	990	8.6257415482356e-09
b'22'	27384000	27440000	1035	9.117162260771787e-09
b'22'	27440000	27496000	931	8.99479237330835e-09
b'22'	27496000	27552000	1072	8.508025894328032e-09
b'22'	27552000	27608000	992	8.849515523406133e-09
b'22'	27608000	27664000	1063	8.707091557801923e-09
b'22'	27664000	27720000	835	9.116980675929005e-09
b'22'	27720000	27776000	974	8.944668397552212e-09
b'22'	27776000	27832000	1067	9.311271969867392e-09
b'22'	27832000	27888000	1005	5.48454367218518e-09
b'22'	27888000	27944000	1037	0
b'22'	27944000	28000000	926	1.5492317811393355e-09
b'22'	28000000	28056000	1050	5.540646807310546e-10
b'22'	28056000	28112000	975	0
b'22'	28112000	28168000	950	0
b'22'	28168000	28224000	1000	0
b'22'	28224000	28280000	1402	1.4972263654722445e-09
b'22'	28280000	28336000	1655	2.115107802709447e-09
b'22'	28336000	28392000	1697	2.0822140191359918e-09
b'22'	28392000	28448000	1763	1.9822118630763045e-09
b'22'	28448000	28504000	1708	2.0826358759380444e-09
b'22'	28504000	28560000	1696	2.1031774023640054e-09
b'22'	28560000	28616000	1692	2.1306129388857003e-09
b'22'	28616000	28672000	1611	2.3049204066139344e-09
b'22'	28672000	28728000	1042	1.1217969412738631e-09
b'22'	28728000	28784000	1019	4.611149899816196e-10
b'22'	28784000	28840000	997	3.340977733289612e-10
b'22'	28840000	28896000	920	4.3099609946904254e-09
