chrom	start	end	nSites	recombRate
b'22'	21040000	22092000	646	2.2246307351552255e-09
b'22'	22092000	23144000	1334	7.611051488090766e-09
b'22'	23144000	24196000	1398	5.356717954198309e-09
b'22'	24196000	25248000	1260	7.094907792078815e-09
b'22'	25248000	26300000	1187	6.781006631243608e-09
b'22'	26300000	27352000	1297	8.463794450285669e-09
b'22'	27352000	28404000	1494	5.9170698783197766e-09
b'22'	28404000	29456000	1742	2.004314812019191e-09
b'22'	29456000	30508000	1467	2.279661126458965e-09
b'22'	30508000	31560000	1303	1.3098760313227808e-09
b'22'	31560000	32612000	1304	4.535864233382203e-09
b'22'	32612000	33664000	1314	5.303474154068729e-09
b'22'	33664000	34716000	1763	3.939513157331501e-09
b'22'	34716000	35768000	1452	7.3212379363907535e-09
b'22'	35768000	36820000	1257	6.9600349596658415e-09
b'22'	36820000	37872000	1395	7.627880881789664e-09
b'22'	37872000	38924000	1510	2.2440213036613478e-09
b'22'	38924000	39976000	1360	6.49409653832728e-09
b'22'	39976000	41028000	1637	1.1033129161083205e-09
b'22'	41028000	42080000	1216	8.486249844999872e-10
b'22'	42080000	43132000	1267	3.4159572785070558e-09
b'22'	43132000	44184000	1263	7.676794867291143e-09
b'22'	44184000	45236000	1495	8.307967037712155e-09
b'22'	45236000	46288000	1587	2.445618107947554e-09
b'22'	46288000	47340000	1485	7.273711657588781e-11
b'22'	47340000	48392000	1499	0
b'22'	48392000	49444000	1486	0
b'22'	49444000	50496000	1502	0
b'22'	50496000	50818468	458	4.0986801899055905e-10
