chrom	start	end	nSites	recombRate
b'22'	21622000	22191000	994	4.337494443761615e-09
b'22'	22191000	22760000	1354	8.477754043988281e-09
b'22'	22760000	23329000	1301	7.583251401010178e-09
b'22'	23329000	23898000	1271	6.8435765909244545e-09
b'22'	23898000	24467000	1222	2.0813319862970034e-09
b'22'	24467000	25036000	1236	6.733965109976445e-09
b'22'	25036000	25605000	1261	8.887219924439982e-09
b'22'	25605000	26174000	1220	6.9134582748831e-09
b'22'	26174000	26743000	1334	5.781544238040453e-09
b'22'	26743000	27312000	1258	9.057941781959937e-09
b'22'	27312000	27881000	1173	8.989546780749278e-09
b'22'	27881000	28450000	1151	4.513642981862267e-10
b'22'	28450000	29019000	1201	8.667130442383983e-10
b'22'	29019000	29588000	1227	2.4049068552395026e-09
b'22'	29588000	30157000	1204	3.1634699190119283e-10
b'22'	30157000	30726000	1269	2.0171890392851e-09
b'22'	30726000	31295000	1339	1.3666306155871181e-09
b'22'	31295000	31864000	1262	2.1153283750778322e-10
b'22'	31864000	32433000	1157	1.5772027512944048e-09
b'22'	32433000	33002000	1286	5.315384229684856e-09
b'22'	33002000	33571000	1345	5.819279190896708e-09
b'22'	33571000	34140000	1173	5.233284492205394e-09
b'22'	34140000	34709000	1434	1.596123132431955e-09
b'22'	34709000	35278000	1298	3.566183351030077e-09
b'22'	35278000	35847000	1263	6.260073462394116e-09
b'22'	35847000	36416000	1159	6.8474413101543866e-09
b'22'	36416000	36985000	1206	8.804764870992015e-09
b'22'	36985000	37554000	1250	8.234702386706283e-09
b'22'	37554000	38123000	1407	1.9174378569529838e-09
b'22'	38123000	38692000	1163	3.973960509704822e-09
b'22'	38692000	39261000	1171	8.273724831332794e-09
b'22'	39261000	39830000	1162	3.1894588402581276e-09
b'22'	39830000	40399000	1126	3.353810556501591e-09
b'22'	40399000	40968000	912	1.6984265138946553e-09
b'22'	40968000	41537000	1294	8.08006940741653e-10
b'22'	41537000	42106000	1718	3.1912496382109074e-10
b'22'	42106000	42675000	1434	1.3101373616003203e-09
b'22'	42675000	43244000	1098	4.7579952713571e-09
b'22'	43244000	43813000	1022	3.82446897548832e-09
b'22'	43813000	44382000	1298	8.129911707159467e-09
b'22'	44382000	44951000	1087	9.352179997024847e-09
b'22'	44951000	45520000	1207	6.832563780906227e-09
b'22'	45520000	46089000	1160	1.8629769032883485e-09
b'22'	46089000	46658000	1049	8.336259383988631e-10
b'22'	46658000	47227000	1054	7.392373776404639e-10
b'22'	47227000	47796000	1113	5.837510407792487e-10
b'22'	47796000	48365000	1087	5.332380039626264e-10
b'22'	48365000	48934000	1078	4.061161861552848e-10
b'22'	48934000	49503000	1098	6.121638903996426e-10
b'22'	49503000	50072000	1126	6.075745578902447e-10
b'22'	50072000	50641000	1049	6.48987639467831e-10
b'22'	50641000	50818468	323	6.520131329319783e-10
